Transporte	trip_duration	trip_duration_hrs	dist_meters	dist_km	wait_sec	wait_min	Vel_mts_seg	Vel_km_hr
Taxi Libre	566	0.157222222	2712	2.712	170	2.833333333	4.79	17.25
Taxi de Sitio	135	0.0375	938	0.938	26	0.433333333	6.95	25.01
Taxi Libre	1081	0.300277778	5657	5.657	367	6.116666667	5.23	18.84
Taxi de Sitio	364	0.101111111	1266	1.266	176	2.933333333	3.48	12.52
Taxi Libre	1463	0.406388889	7087	7.087	179	2.983333333	4.84	17.44
Taxi Libre	941	0.261388889	657	0.657	938	15.63333333	0.7	2.51
Radio Taxi	1541	0.428055556	5475	5.475	870	14.5	3.55	12.79
Taxi Libre	1287	0.3575	6305	6.305	330	5.5	4.9	17.64
Taxi de Sitio	848	0.235555556	3157	3.157	292	4.866666667	3.72	13.4
Taxi Libre	2121	0.589166667	3055	3.055	442	7.366666667	1.44	5.19
Radio Taxi	1039	0.288611111	4090	4.09	554	9.233333333	3.94	14.17
Taxi Libre	710	0.197222222	2671	2.671	304	5.066666667	3.76	13.54
Radio Taxi	791	0.219722222	4314	4.314	318	5.3	5.45	19.63
Taxi Libre	1704	0.473333333	4506	4.506	189	3.15	2.64	9.52
Taxi Libre	1050	0.291666667	3495	3.495	421	7.016666667	3.33	11.98
Taxi de Sitio	1529	0.424722222	5222	5.222	397	6.616666667	3.42	12.3
Taxi de Sitio	383	0.106388889	2116	2.116	132	2.2	5.52	19.89
Taxi Libre	85	0.023611111	1003	1.003	1	0.016666667	11.8	42.48
Taxi Libre	574	0.159444444	4855	4.855	92	1.533333333	8.46	30.45
