"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"4828",8566,"México DF Taxi Libre","18/05/2017 02:26","18/05/2017 02:34",-99.19384935,19.4641382,-99.19633149,19.46157886,"N",471,0.13,901,0.901,281,4.683333333
"4829",8568,"México DF Taxi Libre","18/05/2017 02:34","18/05/2017 03:01",-99.21806557,19.28808222,-99.23198858,19.27479426,"N",1583,0.44,3113,3.113,146,2.433333333
"4830",8570,"México DF Taxi Libre","18/05/2017 03:16","18/05/2017 03:28",-99.1940872,19.46127561,-99.20074286,19.45178334,"N",687,0.19,2568,2.568,276,4.6
"4831",8573,"México DF Taxi Libre","18/05/2017 04:45","18/05/2017 05:01",-99.19621207,19.46149588,-99.2009735,19.43780132,"N",929,0.26,3471,3.471,295,4.916666667
"4832",8574,"México DF Taxi Libre","18/05/2017 05:16","18/05/2017 05:21",-99.19727226,19.46188018,-99.20585583,19.45713386,"N",273,0.08,1752,1.752,42,0.7
"4833",8575,"México DF Taxi Libre","18/05/2017 05:25","18/05/2017 05:30",-99.19632762,19.46155098,-99.20060632,19.45215716,"N",294,0.08,1574,1.574,62,1.033333333
"4834",8576,"México DF Taxi Libre","18/05/2017 05:36","18/05/2017 05:42",-99.12605483,19.2653078,-99.12950048,19.26212797,"N",347,0.1,1615,1.615,47,0.783333333
"4835",8578,"México DF Taxi Libre","18/05/2017 08:10","18/05/2017 08:25",-99.0278804,19.6034116,-99.00076802,19.62016594,"N",919,0.26,4684,4.684,173,2.883333333
"4836",8579,"México DF Taxi Libre","18/05/2017 08:27","18/05/2017 08:34",-99.10865344,19.25290063,-99.12727746,19.26829908,"N",447,0.12,3152,3.152,79,1.316666667
"4837",8580,"México DF Taxi Libre","18/05/2017 08:26","18/05/2017 08:35",-99.1401133,19.3022133,-99.12946334,19.30606098,"N",546,0.15,2941,2.941,119,1.983333333
"4838",8581,"México DF Taxi Libre","18/05/2017 08:41","18/05/2017 08:49",-99.12181028,19.26988292,-99.11827676,19.28324496,"N",500,0.14,1888,1.888,134,2.233333333
"4839",8582,"México DF Radio Taxi","18/05/2017 08:20","18/05/2017 08:54",-99.13816632,19.43435536,-99.19843758,19.495675,"N",2005,0.56,10066,10.066,32,0.533333333
"4840",8583,"México DF Taxi Libre","18/05/2017 08:46","18/05/2017 08:56",-99.19641643,19.46164258,-99.19138358,19.47088014,"N",578,0.16,2379,2.379,175,2.916666667
"4841",8584,"México DF Taxi Libre","18/05/2017 08:50","18/05/2017 08:59",-99.11808952,19.28319208,-99.12724793,19.26916351,"N",568,0.16,2568,2.568,111,1.85
"4842",8585,"México DF Taxi de Sitio","18/05/2017 08:59","18/05/2017 09:02",-99.12738862,19.26901989,-99.12704622,19.26841162,"N",130,0.04,106,0.106,101,1.683333333
"4843",8586,"México DF Taxi Libre","18/05/2017 09:02","18/05/2017 09:22",-99.1963333,19.46159628,-99.19439454,19.45961971,"N",1154,0.32,6065,6.065,266,4.433333333
"4844",8587,"México DF Taxi Libre","18/05/2017 09:03","18/05/2017 09:24",-99.12687866,19.26837378,-99.12370918,19.22993394,"N",1252,0.35,5590,5.59,245,4.083333333
"4845",8588,"México DF Taxi Libre","18/05/2017 09:23","18/05/2017 09:33",-99.19428657,19.46109904,-99.1948187,19.46136794,"N",653,0.18,2928,2.928,236,3.933333333
"4846",8589,"México DF Taxi Libre","18/05/2017 09:52","18/05/2017 09:56",-99.19680564,19.46011834,-99.18398988,19.4585544,"N",252,0.07,1909,1.909,31,0.516666667
"4847",8590,"México DF Taxi Libre","18/05/2017 10:05","18/05/2017 10:15",-99.19572893,19.46260307,-99.19493052,19.46272062,"N",627,0.17,3592,3.592,70,1.166666667
